domain,symptom,missed_avoid_freq,svc_ts,case_data
Washer,noisy,14,2016-08-24T16:06:22.809000,"K76590213,K44336420,K32612438,K35893596,K35288556,K57144411,K99145255,K53150470,K11867126,K54903301,K91802820,K96253058,K04851141,K14141604,K24538540,K27176138,K84761533,K22500029,K55326271"
Washer,leaking from underneath,14,2016-08-24T18:51:26.316000,"K50456523,K01026345"
Washer,leaking underneath,14,2016-08-24T17:37:11.622000,"K50456523,K01026345"
Refrigeration,not cooling enough,14,2016-08-24T15:20:10.506000,"K74959840,K21835527,K38436002,K71214385,K32011107,K09514812,K17329434,K90221064,K75354280,K13421711,K42447640,K39461964,K93552554,K54553070,K48136446,K13143504,K81021512,K15349128,K09350259"
Washer,grinding noise,14,2016-08-24T17:54:07.793000,"K33164855,K36723408"
Refrigeration,ice maker,14,2016-08-24T18:42:11.380000,"K04112301,K05703652,K72567184,K11609054,K99253302,K71500364,K24863464,K53520297,K90516936,K20254308,K44210224,K51156309,K54111380,K91625423,K03263460,K51425358,K24012626,K22555061,K83218492"
Washer,not filling enough,13,2016-08-24T18:31:10.471000,"K46990780,K21719975,K08751543,K10214400,K53555024,K83269337"
Refrigeration,icemaker not working,13,2016-08-24T17:41:38.659000,"K05703652,K72567184,K11609054,K24863464,K53520297,K90516936,K20254308,K44210224,K51156309,K54111380,K22555061,K30014110"
Washer,not working properly,13,2016-08-24T18:42:24.590000,K08955412
Washer,not advancing,11,2016-08-24T15:25:48.733000,"K51516077,K49797232,K50759713,K73753165,K01215425,K11412085"
Washer,not cleaning,11,2016-08-23T20:52:57.454000,K12902321
HVAC,leaking water,10,2016-08-23T14:03:24.524000,"K53550181,K31320407,K08657030,K53008034,K44409038"
Dryer,takes too long to dry,10,2016-08-23T21:44:32.539000,"K44343207,K06523316,K11850393,K91230329,K23586020,K60275334,K01251166,K81269759,K06943359"
Washer,water leaking,10,2016-08-24T13:37:34.375000,"K50456523,K01026345,K84504138,K75910040,K44164041,K54150844,K01984320,K72219431,K55142258,K21223395,K25451242,K26503436,K32227250,K37257047,K32513531,K53340314"
Refrigeration,not enough ice,10,2016-08-24T16:04:27.372000,"K15930152,K10849800,K00517040,K00274762,K71500364,K38240081,K50321700,K38540472,K91086931"
Refrigeration,frost,10,2016-08-24T15:34:28.084000,"K17399944,K64505222,K02710674,K71532941,K48615172,K37280721,K75751213,K61679903,K22933012,K54524056,K05450686,K65591175,K27070130,K98570133,K25198522,K23863325,K65754171,K58836042,K56468352"
